alg,pacgums,score,time,win
A_Star_Rand,117,1850.0,49.82694888114929,False
Dijkstra_Rand,71,750.0,51.13564682006836,False
BFS_Mod,242,3580.0,850.5710723400116,False
Rand_Dir,37,370.0,61.61417603492737,False
Rand_Dir_Legal,25,250.0,46.05176782608032,False
Rand_Dir_Hold,66,660.0,35.038142919540405,False
Rand_Dir_Charge,190,2580.0,74.48328351974487,False
Rand_Dir_Legal_Hold,100,1000.0,42.32140588760376,False
Rand_Turn,55,590.0,49.68184423446655,False
Rand_Turn_Legal,39,390.0,47.38847780227661,False
BFS_Gum,226,2780.0,65.2517602443695,False
BFS_Rand,140,1440.0,48.49118375778198,False
A_Star_Agress,124,2060.0,57.9713568687439,False
A_Star_Rand,113,1170.0,51.53362512588501,False
Dijkstra_Rand,29,290.0,30.70348858833313,False
BFS_Mod,181,2090.0,617.0702812671661,False
Rand_Dir,26,260.0,47.0610466003418,False
Rand_Dir_Legal,33,330.0,38.56301760673523,False
Rand_Dir_Hold,144,1480.0,66.11478686332703,False
Rand_Dir_Charge,107,1170.0,41.06845235824585,False
Rand_Dir_Legal_Hold,89,890.0,42.99254679679871,False
Rand_Turn,34,340.0,44.737247467041016,False
Rand_Turn_Legal,41,410.0,47.71082663536072,False
BFS_Gum,147,1550.0,54.35899305343628,False
BFS_Rand,27,270.0,24.10406994819641,False
BFS_Agress,75,1030.0,35.576953411102295,False
A_Star_Agress,111,4870.0,68.57041358947754,False
A_Star_Rand,161,1750.0,72.28393149375916,False
Dijkstra_Rand,45,450.0,32.77556920051575,False
BFS_Mod,244,3600.0,630.6054131984711,True
Rand_Dir,20,200.0,47.619577169418335,False
Rand_Dir_Legal,44,440.0,50.40913796424866,False
Rand_Dir_Hold,47,470.0,41.01180243492127,False
Rand_Dir_Charge,189,2050.0,75.1751880645752,False
Rand_Dir_Legal_Hold,98,980.0,51.10864281654358,False
Rand_Turn,42,460.0,45.43455481529236,False
Rand_Turn_Legal,33,330.0,45.19567513465881,False
BFS_Gum,243,2890.0,68.23933506011963,False
BFS_Rand,60,600.0,41.928367137908936,False
BFS_Agress,85,1730.0,37.10548901557922,False
A_Star_Agress,149,5050.0,64.69071960449219,False
A_Star_Rand,142,1460.0,65.88939476013184,False
Dijkstra_Rand,45,450.0,44.59568881988525,False
BFS_Mod,237,2730.0,623.7362563610077,False
Rand_Dir,46,460.0,49.38466930389404,False
Rand_Dir_Legal,36,360.0,44.5511474609375,False
Rand_Dir_Hold,102,1020.0,48.93611788749695,False
Rand_Dir_Charge,120,1280.0,54.87681078910828,False
Rand_Dir_Legal_Hold,124,2720.0,87.51796245574951,False
Rand_Turn,99,1030.0,54.24671292304993,False
Rand_Turn_Legal,63,630.0,54.190720319747925,False
BFS_Gum,209,2610.0,61.42812919616699,False
BFS_Rand,116,1160.0,47.20825743675232,False
BFS_Agress,75,2470.0,42.10895299911499,False
A_Star_Agress,88,2800.0,47.2217652797699,False
A_Star_Rand,27,270.0,30.91992855072021,False
Dijkstra_Rand,68,760.0,62.44909858703613,False
BFS_Mod,244,2600.0,631.7502596378326,True
Rand_Dir,38,380.0,64.12910223007202,False
Rand_Dir_Legal,23,230.0,43.56744122505188,False
Rand_Dir_Hold,91,950.0,47.91107892990112,False
Rand_Dir_Charge,127,1510.0,49.098188638687134,False
Rand_Dir_Legal_Hold,129,1370.0,63.91303849220276,False
Rand_Turn,54,540.0,49.82597494125366,False
Rand_Turn_Legal,47,470.0,55.75530862808228,False
BFS_Gum,244,3300.0,74.9126033782959,True
BFS_Rand,88,880.0,47.60196113586426,False
BFS_Agress,93,5250.0,50.64054799079895,False
A_Star_Agress,178,5140.0,74.96632385253906,False
A_Star_Rand,112,1400.0,56.664262533187866,False
Dijkstra_Rand,35,350.0,37.14162564277649,False
BFS_Mod,220,4360.0,636.8267123699188,False
Rand_Dir,43,430.0,49.45556139945984,False
Rand_Dir_Legal,26,260.0,45.48210716247559,False
Rand_Dir_Hold,84,840.0,45.8670928478241,False
Rand_Dir_Charge,128,1460.0,56.59559440612793,False
Rand_Dir_Legal_Hold,108,1120.0,47.4949324131012,False
Rand_Turn,54,580.0,45.49046993255615,False
Rand_Turn_Legal,64,680.0,55.841858863830566,False
BFS_Gum,179,2070.0,57.80433869361877,False
BFS_Rand,72,720.0,49.9547929763794,False
BFS_Agress,113,1850.0,47.44004321098328,False
A_Star_Agress,127,5230.0,54.07158827781677,False
A_Star_Rand,25,250.0,24.292421102523804,False
Dijkstra_Rand,51,550.0,45.77072310447693,False
BFS_Mod,241,3970.0,586.0051381587982,False
Rand_Dir,35,350.0,46.81676506996155,False
Rand_Dir_Legal,42,420.0,51.80961203575134,False
Rand_Dir_Hold,76,800.0,54.7222421169281,False
Rand_Dir_Charge,117,1550.0,58.76356840133667,False
Rand_Dir_Legal_Hold,113,1170.0,71.04106950759888,False
Rand_Turn,63,630.0,50.97728419303894,False
Rand_Turn_Legal,44,440.0,42.971474409103394,False
BFS_Gum,229,3450.0,69.84450078010559,False
BFS_Rand,55,790.0,32.78774547576904,False
A_Star_Agress,50,3580.0,32.36446475982666,False
A_Star_Rand,83,830.0,61.03515315055847,False
Dijkstra_Rand,32,320.0,37.84133720397949,False
BFS_Mod,195,3710.0,761.9342563152313,False
Rand_Dir,50,740.0,72.2404637336731,False
Rand_Dir_Legal,24,240.0,44.60587406158447,False
Rand_Dir_Hold,56,560.0,40.74632453918457,False
Rand_Dir_Charge,90,940.0,47.98281741142273,False
Rand_Dir_Legal_Hold,54,540.0,33.172600507736206,False
Rand_Turn,67,670.0,60.57474136352539,False
Rand_Turn_Legal,47,470.0,44.72281265258789,False
BFS_Gum,244,2900.0,56.56897330284119,True
BFS_Rand,110,1100.0,42.6736946105957,False
BFS_Agress,104,3160.0,51.92349243164063,False
A_Star_Agress,84,1660.0,49.82164716720581,False
A_Star_Rand,121,1210.0,49.98647356033325,False
Dijkstra_Rand,74,820.0,65.89398074150085,False
BFS_Mod,235,2710.0,578.4658236503601,False
Rand_Dir,35,350.0,54.72253775596619,False
Rand_Dir_Legal,55,550.0,54.119218587875366,False
Rand_Dir_Hold,113,1370.0,61.25988721847534,False
Rand_Dir_Charge,200,2360.0,93.35520958900452,False
Rand_Dir_Legal_Hold,158,1860.0,67.5254077911377,False
Rand_Turn,72,760.0,61.82376575469971,False
Rand_Turn_Legal,45,450.0,42.76591992378235,False
BFS_Gum,112,1160.0,40.36248183250427,False
BFS_Rand,76,760.0,36.29286193847656,False
BFS_Agress,84,2560.0,40.662023305892944,False
